Camera,Trial,Arena,Date,Day,Origin,Mark,Sex,Fish_ID,Group,Tank,Notes,tot_dist,mean_velocity,high_dur,mid_dur,low_dur,freezing_dur,arena_dur
None,3,6,2/03/2020,Monday,WCB,Yel.Yel,female,a9613,Within Control,Tall,,1014.11,2.30479,0,0,440.08,1.84,440.08
None,4,1,2/03/2020,Monday,WCB,Blu.Red,male,a9582,Within Control,Tall,,2322.16,5.27763,93.84,65.04,281.2,12.48,440.08
None,4,2,2/03/2020,Monday,WCB,Pur.Blu,male,a9687,Within Control,Tall,,2458.29,5.58703,133.12,93.28,213.68,1.2,440.08
None,4,3,2/03/2020,Monday,MA,Bro.Gre,female,a9796,Maternal,Tall,,671.358,1.52581,17.92,22,400.16,79.36,440.08
None,4,4,2/03/2020,Monday,MA,Red.Yel,female,a9761,Maternal,Tall,,2109.92,4.79528,170.88,103.44,165.76,0.08,440.08
None,4,5,2/03/2020,Monday,MA,Red.Blu,female,a9759,Maternal,Tall,,7.03247,0.0159829,0,0,440.08,440,440.08
None,4,6,2/03/2020,Monday,MA,_.Yel,male,a9764,Maternal,Tall,,1217.86,2.76786,0,0,440.08,1.12,440.08
None,5,1,2/03/2020,Monday,MA,Gre.Gre,female,a9804,Maternal,Tall,,1467.34,3.33487,0,0,440.08,0.24,440.08
None,5,2,2/03/2020,Monday,MA,Red.Red,male,a9754,Maternal,Tall,,1616.7,3.67432,17.12,88.8,334.16,0.24,440.08
None,5,3,2/03/2020,Monday,MA,Bro.Yel,female,a9794,Maternal,Tall,,639.614,1.45367,0,0,440.08,4.08,440.08
None,5,4,2/03/2020,Monday,MA,Red.Bro,male,a9760,Maternal,Tall,,1745.63,3.96806,10.24,47.44,382.4,0.24,440.08
None,5,5,2/03/2020,Monday,MA,Red.Gre,female,a9758,Maternal,Tall,,1761.89,4.00429,98.64,101.28,240.16,0.32,440.08
None,5,6,2/03/2020,Monday,MA,Gre.Blu,male,a9808,Maternal,Tall,,7.01374,0.0159403,0,0,440.08,440,440.08
None,6,1,2/03/2020,Monday,MA,Whi.Ora,female,a9839,Maternal,Tall,,241.115,0.547988,0,0,440.08,230.24,440.08
None,6,2,2/03/2020,Monday,MA,Gre.Whi,female,a9809,Maternal,Tall,,1840.99,4.18407,119.36,54.4,266.32,1.44,440.08
None,6,3,2/03/2020,Monday,MA,_.Bla,male,a9800,Maternal,Tall,,441.771,1.00403,0,0,440.08,158.16,440.08
None,6,4,2/03/2020,Monday,MA,Red.Pur,female,a9762,Maternal,Tall,,1383.77,3.14494,0,0,440.08,0.96,440.08
None,6,5,2/03/2020,Monday,MA,Blu.Yel,female,a9845,Maternal,Tall,,9.02942,0.0205214,0,0,440.08,440,440.08
None,6,6,2/03/2020,Monday,MA,Red._,female,a9848,Maternal,Tall,,945.819,2.14959,23.52,49.76,366.8,26.8,440.08
None,7,1,2/03/2020,Monday,MA,Bro.Pin,male,a9793,Maternal,Tall,,13.8289,0.0314294,0,0,440.08,435.68,440.08
None,7,2,2/03/2020,Monday,MA,_.Gre,male,a9803,Maternal,Tall,,1901.75,4.32217,37.68,116.72,285.68,16.88,440.08
None,7,3,2/03/2020,Monday,MA,Pin.Ora,male,a9858,Maternal,Tall,,687.686,1.56292,0,0,440.08,111.04,440.08
None,7,4,2/03/2020,Monday,MA,Yel._,male,a9763,Maternal,Tall,,27.2418,0.0619132,0,0,440.08,414.64,440.08
None,8,1,2/03/2020,Monday,WTB,Gre.Pur,male,a10043,Within Treatment,Tall,,1871.71,4.25388,83.6,79.84,276.64,0.4,440.08
None,8,2,2/03/2020,Monday,WTB,Ora.Ora,female,a10060,Within Treatment,Tall,,2731.25,6.20739,198.16,108.08,133.84,0.08,440.08
None,8,3,2/03/2020,Monday,WTB,_.Blu,female,a10040,Within Treatment,Tall,,1832.56,4.1649,40.16,129.76,270.16,0.08,440.08
None,8,4,2/03/2020,Monday,WTB,Whi.Bro,female,a10159,Within Treatment,Tall,,2094.86,4.76105,167.52,48.72,223.84,0.72,440.08
